...	LS	MCFS	UMM	URAFS	LDFS	DFS	L21FS	
usps	66.34+4.59	90.16+1.25	82.38+1.48	88.24+2.21	49.31+3.04	90.18+1.38	90.88+1.18	
	0.03	0.08	0.72	4.59	0.03	0.07	0.67	
	0.00073064	0.66516	0.00034121	0.068929	1.9535e-05	0.13547	NaN	
madelon	60.5+2.26	59.11+1.89	60.65+2.13	58.2+4.86	48.2+1.15	60.5+2.25	61+2.09	
	0.05	0.02	1.31	8.86	0.08	0.03	1.17	
	0.23472	0.10196	0.7102	0.2043	0.00090892	0.16599	NaN	
isolet5	62.66+2.43	85.67+1.42	50.31+2.84	70.24+3.49	33.95+2.91	77.23+3.37	86.4+2.35	
	0.04	0.34	1.34	4.84	0.24	0.37	3.48	
	0.00020292	0.87362	0.00014828	0.00029624	6.9617e-06	0.02948	NaN	
COIL20	69.58+1.56	95.32+1.2	72.89+2.13	93.26+2.46	8.69+11.71	96.26+1.36	96.36+1.08	
	0.05	0.43	2.63	6.52	0.79	1.44	13.43	
	3.5033e-07	0.36017	5.5109e-05	0.050666	3.7117e-07	0.62131	NaN	
lung_discrete	61.66+11.36	79.14+9.3	69.33+11	75.24+8.46	77.45+9.16	75.35+10.03	81.37+7.18	
	0	0.02	0.13	0.1	0.07	0.09	0.7	
	0.039118	0.58887	0.032648	0.2812	0.704	0.13375	NaN	
Isolet	63.49+1.81	86.18+1.89	45.58+2.33	72.56+4.18	36.88+2.92	77.49+2.99	88.26+2.21	
	0.04	0.34	1.32	5.58	0.22	0.39	3.75	
	0.00040288	0.088435	4.183e-05	0.00034327	5.7451e-05	0.00031104	NaN	
colon	64.49+13.66	81.62+8.4	68.64+14.85	64.23+15.89	82.28+9.97	67.31+16.89	80.64+8.41	
	0.01	0.05	14.01	8.21	2.58	1.14	66.87	
	0.066088	0.46451	0.40103	0.078336	0.38478	0.17517	NaN	
lung	78.91+5.02	93.1+3.79	88.66+4.78	84.76+5.89	68.47+5.82	86.74+6.43	92.12+3.3	
	0.01	0.13	72.97	85.1	17.77	42.64	380.75	
	0.023633	0.17785	0.11294	0.012731	0.0043814	0.16964	NaN	
warpPIE10P	13.81+5.3	78.76+7.85	8.48+3.51	54.76+3.69	18.38+5.99	71.9+6.46	92.38+3.81	
	0.01	0.21	26.19	29.88	10.97	17.18	232.87	
	5.3997e-05	0.021936	7.8646e-06	0.00016686	2.5212e-05	0.0035611	NaN	
mnist	48.59+22.63	86.93+1.41	76.16+1.18	80.72+2.2	57.33+3.17	84.25+1.14	83.93+1.04	
	0.23	0.48	4.97	35.65	0.28	0.51	5.04	
	0.10318	0.0048638	4.183e-05	0.026727	7.4135e-06	0.63481	NaN	
